Date,Sum of Revenue,Count of Invoice,AOV
01-12-2010,58635.56,3108,18.87
02-12-2010,46207.28,2109,21.91
03-12-2010,45620.46,2202,20.72
05-12-2010,31383.95,2725,11.52
06-12-2010,53860.18,3878,13.89
07-12-2010,45059.05,2963,15.21
08-12-2010,44189.84,2647,16.69
09-12-2010,52532.13,2891,18.17
10-12-2010,57404.91,2758,20.81
12-12-2010,17240.92,1451,11.88
13-12-2010,35379.34,2283,15.5
14-12-2010,42843.29,2087,20.53
15-12-2010,29443.69,1349,21.83
16-12-2010,48334.35,1790,27
17-12-2010,43534.19,3115,13.98
19-12-2010,7517.31,522,14.4
20-12-2010,24741.75,1763,14.03
21-12-2010,47097.94,1586,29.7
22-12-2010,6134.57,291,21.08
23-12-2010,11796.31,963,12.25
04-01-2011,14950.48,1184,12.63
05-01-2011,-1566.23,1743,-0.9
06-01-2011,37392.74,1832,20.41
07-01-2011,27233.14,1794,15.18
09-01-2011,15710.8,1117,14.07
10-01-2011,24191.64,1976,12.24
11-01-2011,67817.13,1454,46.64
12-01-2011,23958.78,1809,13.24
13-01-2011,20533.54,1445,14.21
14-01-2011,47377.26,1510,31.38
16-01-2011,7116.61,646,11.02
17-01-2011,29256,2557,11.44
18-01-2011,18680.8,1447,12.91
19-01-2011,25585.81,1416,18.07
20-01-2011,17995.91,1502,11.98
21-01-2011,31978.44,1594,20.06
23-01-2011,10285.95,879,11.7
24-01-2011,25555.62,1485,17.21
25-01-2011,27971.52,1654,16.91
26-01-2011,19493.32,1289,15.12
27-01-2011,21092.14,1575,13.39
28-01-2011,18567.77,1008,18.42
30-01-2011,6456.44,722,8.94
31-01-2011,22364.65,1509,14.82
01-02-2011,28433.22,1574,18.06
02-02-2011,21048.45,1411,14.92
03-02-2011,23344.58,989,23.6
04-02-2011,24994.17,1232,20.29
06-02-2011,3457.11,279,12.39
07-02-2011,25525.99,1261,20.24
08-02-2011,20728.14,1228,16.88
09-02-2011,16692.58,879,18.99
10-02-2011,13427.54,785,17.11
11-02-2011,20387.28,957,21.3
13-02-2011,5535.4,624,8.87
14-02-2011,26222.03,1108,23.67
15-02-2011,36842.58,1335,27.6
16-02-2011,24730.81,1191,20.76
17-02-2011,26361.87,1719,15.34
18-02-2011,15928.4,854,18.65
20-02-2011,9578.89,864,11.09
21-02-2011,23807.83,1425,16.71
22-02-2011,32292.62,1593,20.27
23-02-2011,26792.76,1578,16.98
24-02-2011,22655.83,1294,17.51
25-02-2011,18029.84,978,18.44
27-02-2011,9491.05,812,11.69
28-02-2011,21753.68,1737,12.52
01-03-2011,25471.71,1361,18.72
02-03-2011,18296.45,935,19.57
03-03-2011,35842.62,1389,25.8
04-03-2011,19474.87,1107,17.59
06-03-2011,9596.23,844,11.37
07-03-2011,30525.58,1971,15.49
08-03-2011,25017.47,1600,15.64
09-03-2011,21907.12,1277,17.16
10-03-2011,25597.89,1131,22.63
11-03-2011,21995.28,959,22.94
13-03-2011,4137.62,537,7.71
14-03-2011,25864.59,1111,23.28
